Source,Target,Type,Id,Label,Weight
zhouyuan,shi-le-tian-38,Directed,11464,,1.0
ChenZhangyu,jixin,Directed,17082,,1.0
ChenZhangyu,cogito,Directed,21,,1.0
ChenZhangyu,wang-zhen-lei-57,Directed,3692,,1.0
ChenZhangyu,miaomiaomiao,Directed,8083,,1.0
ChenZhangyu,pb612,Directed,8413,,1.0
ChenZhangyu,xie-ming-1,Directed,5265,,1.0
ChenZhangyu,kant,Directed,2977,,1.0
ChenZhangyu,cheng-yi-nan,Directed,6504,,1.0
ChenZhangyu,xiao-peng-fei-86,Directed,2729,,1.0
ChenZhangyu,shuang-wang,Directed,12724,,1.0
ChenZhangyu,chengbailao,Directed,11369,,1.0
cogito,jixin,Directed,17477,,1.0
cogito,marukochan,Directed,11651,,1.0
cogito,lycheeorange,Directed,603,,1.0
cogito,miaomiaomiao,Directed,8031,,1.0
cogito,pb612,Directed,8412,,1.0
cogito,lanlingyeyu,Directed,1192,,1.0
cogito,kant,Directed,2856,,1.0
cogito,xiao-peng-fei-86,Directed,2684,,1.0
cogito,shuang-wang,Directed,12731,,1.0
cogito,TonyFang,Directed,5758,,1.0
cogito,she-zhao-zhuo,Directed,6232,,1.0
fu-er,jixin,Directed,21890,,1.0
fu-er,marukochan,Directed,11765,,1.0
fu-er,harryman,Directed,12157,,1.0
fu-er,aaronglyang,Directed,12531,,1.0
fu-er,cogito,Directed,22,,1.0
fu-er,lycheeorange,Directed,536,,1.0
fu-er,miaomiaomiao,Directed,8065,,1.0
fu-er,pb612,Directed,8430,,1.0
fu-er,lilydjwg,Directed,1079,,1.0
fu-er,xie-ming-1,Directed,5267,,1.0
fu-er,kant,Directed,3044,,1.0
fu-er,cheng-yi-nan,Directed,6567,,1.0
fu-er,om19,Directed,11939,,1.0
fu-er,shuang-wang,Directed,12699,,1.0
fu-er,zi-liu,Directed,5134,,1.0
fu-er,blackhumor,Directed,5488,,1.0
fu-er,she-zhao-zhuo,Directed,6325,,1.0
fu-er,chengbailao,Directed,11442,,1.0
raymond-wang,jixin,Directed,18709,,1.0
raymond-wang,marukochan,Directed,11780,,1.0
raymond-wang,cogito,Directed,23,,1.0
raymond-wang,daguo,Directed,3858,,1.0
raymond-wang,miaomiaomiao,Directed,7995,,1.0
raymond-wang,DrHow,Directed,3441,,1.0
raymond-wang,pb612,Directed,8565,,1.0
raymond-wang,oxygen,Directed,2016,,1.0
raymond-wang,xie-ming-1,Directed,5290,,1.0
raymond-wang,kant,Directed,3057,,1.0
raymond-wang,cheng-yi-nan,Directed,6568,,1.0
raymond-wang,gongjun,Directed,4035,,1.0
raymond-wang,shuang-wang,Directed,12854,,1.0
raymond-wang,xuedan,Directed,5022,,1.0
raymond-wang,she-zhao-zhuo,Directed,6269,,1.0
raymond-wang,welljessie,Directed,12470,,1.0
raymond-wang,chengbailao,Directed,10110,,1.0
gracelu,jixin,Directed,18720,,1.0
gracelu,cogito,Directed,24,,1.0
gracelu,miaomiaomiao,Directed,7741,,1.0
gracelu,DrHow,Directed,3382,,1.0
gracelu,oxygen,Directed,2121,,1.0
gracelu,xie-ming-1,Directed,5281,,1.0
gracelu,shuang-wang,Directed,12860,,1.0
gracelu,zi-liu,Directed,5129,,1.0
gracelu,blackhumor,Directed,5336,,1.0
gracelu,she-zhao-zhuo,Directed,6291,,1.0
gracelu,welljessie,Directed,12415,,1.0
yolfilm,jixin,Directed,21884,,1.0
yolfilm,marukochan,Directed,11621,,1.0
yolfilm,cogito,Directed,25,,1.0
yolfilm,daguo,Directed,3889,,1.0
yolfilm,lycheeorange,Directed,550,,1.0
yolfilm,miaomiaomiao,Directed,8079,,1.0
yolfilm,pb612,Directed,8407,,1.0
yolfilm,xie-ming-1,Directed,5266,,1.0
yolfilm,cheng-yi-nan,Directed,6523,,1.0
yolfilm,gongjun,Directed,4533,,1.0
yolfilm,xiao-peng-fei-86,Directed,2720,,1.0
yolfilm,bai-lu-cang-mang,Directed,3304,,1.0
yolfilm,zi-liu,Directed,5131,,1.0
yolfilm,TonyFang,Directed,5788,,1.0
yolfilm,she-zhao-zhuo,Directed,6281,,1.0
yolfilm,zan-er-26,Directed,12108,,1.0
yolfilm,chengbailao,Directed,8732,,1.0
tinky90,cogito,Directed,26,,1.0
tinky90,lycheeorange,Directed,380,,1.0
hong-tao-56,jixin,Directed,17140,,1.0
hong-tao-56,cogito,Directed,27,,1.0
hong-tao-56,DrHow,Directed,3433,,1.0
hong-tao-56,she-zhao-zhuo,Directed,6274,,1.0
chen-fu-zhou,jixin,Directed,18725,,1.0
chen-fu-zhou,marukochan,Directed,11629,,1.0
chen-fu-zhou,cogito,Directed,28,,1.0
chen-fu-zhou,miaomiaomiao,Directed,7576,,1.0
chen-fu-zhou,DrHow,Directed,3377,,1.0
chen-fu-zhou,lanlingyeyu,Directed,1334,,1.0
su-fei-17,jixin,Directed,17549,,1.0
su-fei-17,cogito,Directed,29,,1.0
su-fei-17,miaomiaomiao,Directed,7779,,1.0
su-fei-17,oxygen,Directed,1686,,1.0
su-fei-17,kant,Directed,2913,,1.0
su-fei-17,cheng-yi-nan,Directed,6447,,1.0
su-fei-17,zihaolucky,Directed,3170,,1.0
su-fei-17,she-zhao-zhuo,Directed,6207,,1.0
su-fei-17,welljessie,Directed,12290,,1.0
su-fei-17,chengbailao,Directed,11362,,1.0
li-yang-89,jixin,Directed,18053,,1.0
li-yang-89,cogito,Directed,30,,1.0
li-yang-89,daguo,Directed,3871,,1.0
li-yang-89,oxygen,Directed,1632,,1.0
li-yang-89,kant,Directed,2952,,1.0
li-yang-89,shuang-wang,Directed,12810,,1.0
li-yang-89,chengbailao,Directed,9169,,1.0
jin-chen-yu,jixin,Directed,18707,,1.0
jin-chen-yu,cogito,Directed,31,,1.0
jin-chen-yu,miaomiaomiao,Directed,7679,,1.0
jin-chen-yu,DrHow,Directed,3477,,1.0
jin-chen-yu,pb612,Directed,8364,,1.0
jin-chen-yu,cheng-yi-nan,Directed,6528,,1.0
jin-chen-yu,zihaolucky,Directed,3222,,1.0
jin-chen-yu,bai-lu-cang-mang,Directed,3295,,1.0
jin-chen-yu,shuang-wang,Directed,12766,,1.0
daguo,jixin,Directed,18793,,1.0
daguo,marukochan,Directed,11609,,1.0
daguo,cogito,Directed,32,,1.0
daguo,miaomiaomiao,Directed,8110,,1.0
daguo,pb612,Directed,8557,,1.0
daguo,lilydjwg,Directed,1042,,1.0
daguo,bai-lu-cang-mang,Directed,3273,,1.0
daguo,shuang-wang,Directed,12869,,1.0
daguo,she-zhao-zhuo,Directed,5937,,1.0
daguo,chengbailao,Directed,11441,,1.0
nordenbox,jixin,Directed,18055,,1.0
nordenbox,cogito,Directed,33,,1.0
nordenbox,daguo,Directed,3860,,1.0
nordenbox,miaomiaomiao,Directed,7057,,1.0
nordenbox,pb612,Directed,8164,,1.0
nordenbox,kant,Directed,2983,,1.0
nordenbox,bai-lu-cang-mang,Directed,3247,,1.0
nordenbox,shuang-wang,Directed,12726,,1.0
nordenbox,chengbailao,Directed,9964,,1.0
joy-cai-14,jixin,Directed,14717,,1.0
joy-cai-14,cogito,Directed,34,,1.0
joy-cai-14,lanlingyeyu,Directed,1272,,1.0
joy-cai-14,welljessie,Directed,12234,,1.0
joy-cai-14,chengbailao,Directed,8949,,1.0
chibaole,jixin,Directed,16032,,1.0
chibaole,cogito,Directed,35,,1.0
chibaole,lycheeorange,Directed,566,,1.0
chibaole,miaomiaomiao,Directed,7934,,1.0
chibaole,xiao-peng-fei-86,Directed,2724,,1.0
chibaole,shuang-wang,Directed,12671,,1.0
chibaole,she-zhao-zhuo,Directed,6128,,1.0
