Source,Target,Type,Id,Label,Weight
26,2794,Directed,12860,,1.0
26,3877,Directed,5129,,1.0
26,3993,Directed,5336,,1.0
26,4252,Directed,6291,,1.0
26,5007,Directed,12415,,1.0
27,5,Directed,21884,,1.0
27,8,Directed,11621,,1.0
27,23,Directed,25,,1.0
27,34,Directed,3889,,1.0
27,43,Directed,550,,1.0
27,572,Directed,8079,,1.0
27,653,Directed,8407,,1.0
27,1106,Directed,5266,,1.0
27,1232,Directed,6523,,1.0
27,2246,Directed,4533,,1.0
27,2296,Directed,2720,,1.0
27,2692,Directed,3304,,1.0
27,3877,Directed,5131,,1.0
27,4208,Directed,5788,,1.0
27,4252,Directed,6281,,1.0
27,4689,Directed,12108,,1.0
27,5868,Directed,8732,,1.0
28,23,Directed,26,,1.0
28,43,Directed,380,,1.0
29,5,Directed,17140,,1.0
29,23,Directed,27,,1.0
29,597,Directed,3433,,1.0
29,4252,Directed,6274,,1.0
30,5,Directed,18725,,1.0
30,8,Directed,11629,,1.0
30,23,Directed,28,,1.0
30,572,Directed,7576,,1.0
30,597,Directed,3377,,1.0
30,1088,Directed,1334,,1.0
31,5,Directed,17549,,1.0
31,23,Directed,29,,1.0
31,572,Directed,7779,,1.0
31,720,Directed,1686,,1.0
31,1109,Directed,2913,,1.0
31,1232,Directed,6447,,1.0
31,2600,Directed,3170,,1.0
31,4252,Directed,6207,,1.0
31,5007,Directed,12290,,1.0
31,5868,Directed,11362,,1.0
32,5,Directed,18053,,1.0
32,23,Directed,30,,1.0
32,34,Directed,3871,,1.0
32,720,Directed,1632,,1.0
32,1109,Directed,2952,,1.0
32,2794,Directed,12810,,1.0
32,5868,Directed,9169,,1.0
33,5,Directed,18707,,1.0
33,23,Directed,31,,1.0
33,572,Directed,7679,,1.0
33,597,Directed,3477,,1.0
33,653,Directed,8364,,1.0
33,1232,Directed,6528,,1.0
33,2600,Directed,3222,,1.0
33,2692,Directed,3295,,1.0
33,2794,Directed,12766,,1.0
34,5,Directed,18793,,1.0
34,8,Directed,11609,,1.0
34,23,Directed,32,,1.0
34,572,Directed,8110,,1.0
34,653,Directed,8557,,1.0
34,860,Directed,1042,,1.0
34,2692,Directed,3273,,1.0
34,2794,Directed,12869,,1.0
34,4252,Directed,5937,,1.0
34,5868,Directed,11441,,1.0
35,5,Directed,18055,,1.0
35,23,Directed,33,,1.0
35,34,Directed,3860,,1.0
35,572,Directed,7057,,1.0
35,653,Directed,8164,,1.0
35,1109,Directed,2983,,1.0
35,2692,Directed,3247,,1.0
35,2794,Directed,12726,,1.0
35,5868,Directed,9964,,1.0
36,5,Directed,14717,,1.0
36,23,Directed,34,,1.0
36,1088,Directed,1272,,1.0
36,5007,Directed,12234,,1.0
36,5868,Directed,8949,,1.0
37,5,Directed,16032,,1.0
37,23,Directed,35,,1.0
37,43,Directed,566,,1.0
37,572,Directed,7934,,1.0
37,2296,Directed,2724,,1.0
37,2794,Directed,12671,,1.0
37,4252,Directed,6128,,1.0
38,5,Directed,14324,,1.0
38,23,Directed,36,,1.0
38,43,Directed,51,,1.0
39,5,Directed,21898,,1.0
39,8,Directed,11788,,1.0
39,11,Directed,12479,,1.0
39,23,Directed,37,,1.0
39,43,Directed,604,,1.0
39,49,Directed,3539,,1.0
39,720,Directed,2485,,1.0
39,1088,Directed,1348,,1.0
39,2008,Directed,11968,,1.0
39,2246,Directed,4859,,1.0
39,2296,Directed,2645,,1.0
39,2794,Directed,12733,,1.0
39,3739,Directed,4979,,1.0
39,3993,Directed,5347,,1.0
39,5007,Directed,12211,,1.0
40,5,Directed,13973,,1.0
40,23,Directed,38,,1.0
40,1088,Directed,1269,,1.0
40,1109,Directed,2775,,1.0
40,4689,Directed,12118,,1.0
40,5007,Directed,12401,,1.0
41,5,Directed,15740,,1.0
41,8,Directed,11547,,1.0
41,23,Directed,39,,1.0
41,43,Directed,523,,1.0
41,572,Directed,7832,,1.0
41,597,Directed,3379,,1.0
41,653,Directed,8377,,1.0
41,1088,Directed,1168,,1.0
41,1232,Directed,6468,,1.0
41,2296,Directed,2688,,1.0
41,2600,Directed,3209,,1.0
41,3739,Directed,4953,,1.0
41,4252,Directed,6187,,1.0
41,5007,Directed,12336,,1.0
41,5868,Directed,9582,,1.0
42,43,Directed,40,,1.0
43,49,Directed,3784,,1.0
43,572,Directed,7492,,1.0
43,720,Directed,1789,,1.0
43,2246,Directed,3966,,1.0
43,2296,Directed,2563,,1.0
43,4689,Directed,12050,,1.0
44,43,Directed,41,,1.0
45,43,Directed,42,,1.0
45,5007,Directed,12399,,1.0
46,43,Directed,43,,1.0
47,43,Directed,44,,1.0
48,5,Directed,14035,,1.0
48,43,Directed,45,,1.0
48,572,Directed,7013,,1.0
48,653,Directed,8160,,1.0
48,1109,Directed,2818,,1.0
48,4689,Directed,12071,,1.0
49,43,Directed,46,,1.0
49,720,Directed,1649,,1.0
49,3982,Directed,5251,,1.0
50,5,Directed,13502,,1.0
